x,z,MHz,Hz,B(T),mT
-1,9,15.43561,15435610,0.05770321495,57.70321495
-0.8,9,15.43598,15435980,0.05770459813,57.70459813
-0.6,9,15.43592,15435920,0.05770437383,57.70437383
-0.4,9,15.43256,15432560,0.05769181308,57.69181308
-0.2,9,15.43484,15434840,0.05770033645,57.70033645
0,9,15.43559,15435590,0.05770314019,57.70314019
0.2,9,15.43274,15432740,0.05769248598,57.69248598
0.4,9,15.43171,15431710,0.05768863551,57.68863551
0.6,9,15.43059,15430590,0.0576844486,57.6844486
0.8,9,15.42951,15429510,0.05768041121,57.68041121
1,9,15.42869,15428690,0.05767734579,57.67734579
-1,9.5,15.43145,15431450,0.05768766355,57.68766355
-0.8,9.5,15.43232,15432320,0.05769091589,57.69091589
-0.6,9.5,15.43304,15433040,0.05769360748,57.69360748
-0.4,9.5,15.43402,15434020,0.05769727103,57.69727103
-0.2,9.5,15.43306,15433060,0.05769368224,57.69368224
0,9.5,15.43341,15433410,0.05769499065,57.69499065
0.2,9.5,15.43286,15432860,0.05769293458,57.69293458
0.4,9.5,15.43103,15431030,0.05768609346,57.68609346
0.6,9.5,15.43046,15430460,0.05768396262,57.68396262
0.8,9.5,15.42982,15429820,0.05768157009,57.68157009
1,9.5,15.42916,15429160,0.0576791028,57.6791028
-1,10,15.43152,15431520,0.05768792523,57.68792523
-0.8,10,15.43166,15431660,0.0576884486,57.6884486
-0.6,10,15.43187,15431870,0.05768923364,57.68923364
-0.4,10,15.43231,15432310,0.0576908785,57.6908785
-0.2,10,15.43195,15431950,0.05768953271,57.68953271
0,10,15.43142,15431420,0.0576875514,57.6875514
0.2,10,15.43073,15430730,0.05768497196,57.68497196
0.4,10,15.42854,15428540,0.05767678505,57.67678505
0.6,10,15.42749,15427490,0.05767285981,57.67285981
0.8,10,15.42667,15426670,0.05766979439,57.66979439
1,10,15.42551,15425510,0.05766545794,57.66545794
-1,10.5,15.43897,15438970,0.0577157757,57.7157757
-0.8,10.5,15.42956,15429560,0.05768059813,57.68059813
-0.6,10.5,15.42946,15429460,0.0576802243,57.6802243
-0.4,10.5,15.42962,15429620,0.05768082243,57.68082243
-0.2,10.5,15.43006,15430060,0.05768246729,57.68246729
0,10.5,15.42966,15429660,0.05768097196,57.68097196
0.2,10.5,15.42924,15429240,0.05767940187,57.67940187
0.4,10.5,15.42837,15428370,0.05767614953,57.67614953
0.6,10.5,15.42707,15427070,0.05767128972,57.67128972
0.8,10.5,15.42615,15426150,0.05766785047,57.66785047
1,10.5,15.42567,15425670,0.05766605607,57.66605607
-1,11,15.42822,15428220,0.05767558879,57.67558879
-0.8,11,15.42926,15429260,0.05767947664,57.67947664
-0.6,11,15.4294,15429400,0.05768,57.68
-0.4,11,15.42924,15429240,0.05767940187,57.67940187
-0.2,11,15.42942,15429420,0.05768007477,57.68007477
0,11,15.42898,15428980,0.05767842991,57.67842991
0.2,11,15.42838,15428380,0.05767618692,57.67618692
0.4,11,15.42759,15427590,0.05767323364,57.67323364
0.6,11,15.42563,15425630,0.05766590654,57.66590654
0.8,11,15.42455,15424550,0.05766186916,57.66186916
1,11,15.42379,15423790,0.05765902804,57.65902804