temp,volt0,volt8
80,0.51,0.48
84.68,0.3,0.66
88,0.12,1.01
90,0.24,2.32
95,0.21,2.32
97.5,0.24,2.68
97.5,0.67,3.15
98,0.69,3.1
98.5,0.69,3.19
99,0.7,3.2
99.5,0.77,3.21
100,0.8,3.23
100,0.69,3.01
100.5,0.97,3.32
101,1.11,3.34
101.5,1.31,3.34
102,1.44,3.4
102.5,1.64,3.43
103,1.83,3.51
103.5,1.97,3.54
104,2.11,3.64
104.5,2.26,3.73
105,2.47,3.9
105,2.4,3.82
105.5,2.53,3.94
106,2.66,4.06
106.5,2.82,4.18
107,2.94,4.33
107.5,3.1,4.53
108,3.32,4.73
108.5,3.61,5
109,4.02,5.32
109.5,4.65,5.62
110,5.33,6.02
110.5,5.99,6.4
111,6.57,6.83