temp,vmin,vmax,volt,rmin,rmax,resistance
80,0.2,0.2,0.2,0.00004,0.00004,0.00004
85,0.2,0.2,0.2,0.00004,0.00004,0.00004
90,0.19,0.19,0.19,0.000038,0.000038,0.000038
95,0.14,0.2,0.17,0.000028,0.00004,0.000034
97.5,0.41,0.42,0.415,0.000082,0.000084,0.000083
98,0.54,0.57,0.555,0.000108,0.000114,0.000111
98.5,0.7,0.71,0.705,0.00014,0.000142,0.000141
99,0.87,0.88,0.875,0.000174,0.000176,0.000175
99.52,1.1,1.11,1.105,0.00022,0.000222,0.000221
100,1.26,1.31,1.285,0.000252,0.000262,0.000257
100.5,1.47,1.48,1.475,0.000294,0.000296,0.000295
101,1.65,1.65,1.65,0.00033,0.00033,0.00033
101.5,1.81,1.82,1.815,0.000362,0.000364,0.000363
102,1.94,1.96,1.95,0.000388,0.000392,0.00039
102.5,2.09,2.09,2.09,0.000418,0.000418,0.000418
103,2.18,2.18,2.18,0.000436,0.000436,0.000436
103.5,2.28,2.29,2.285,0.000456,0.000458,0.000457
104,2.36,2.37,2.365,0.000472,0.000474,0.000473
104.5,2.43,2.44,2.435,0.000486,0.000488,0.000487
105,2.52,2.52,2.52,0.000504,0.000504,0.000504
105.5,2.58,2.6,2.59,0.000516,0.00052,0.000518
106,2.63,2.66,2.645,0.000526,0.000532,0.000529
106.5,2.7,2.71,2.705,0.00054,0.000542,0.000541
107,2.82,2.82,2.82,0.000564,0.000564,0.000564
107.5,2.95,2.95,2.95,0.00059,0.00059,0.00059
108,3.1,3.13,3.115,0.00062,0.000626,0.000623
108.5,3.43,3.43,3.43,0.000686,0.000686,0.000686
109,3.8,3.81,3.805,0.00076,0.000762,0.000761
109.5,4.2,4.21,4.205,0.00084,0.000842,0.000841
110,4.54,4.56,4.55,0.000908,0.000912,0.00091
110.5,4.84,4.84,4.84,0.000968,0.000968,0.000968
111,5.08,5.08,5.08,0.001016,0.001016,0.001016
111.5,5.25,5.25,5.25,0.00105,0.00105,0.00105
112,5.45,5.45,5.45,0.00109,0.00109,0.00109
112.5,5.59,5.59,5.59,0.001118,0.001118,0.001118
115,6.07,6.08,6.075,0.001214,0.001216,0.001215
120,6.59,6.59,6.59,0.001318,0.001318,0.001318
125,6.9,6.9,6.9,0.00138,0.00138,0.00138
130,7.16,7.16,7.16,0.001432,0.001432,0.001432
140,7.59,7.59,7.59,0.001518,0.001518,0.001518
150,7.98,7.98,7.98,0.001596,0.001596,0.001596
160,8.32,8.33,8.325,0.001664,0.001666,0.001665