temp,volt0,volt8,res0,res8,resistivity0,resistivity8
97.5,0.67,3.15,134,630,1.214672518,5.710773779
98,0.69,3.1,138,620,1.250931399,5.620126576
98.5,0.69,3.19,138,638,1.250931399,5.783291541
99,0.7,3.2,140,640,1.26906084,5.801420982
99.5,0.77,3.21,154,642,1.395966924,5.819550422
100,0.8,3.23,160,646,1.450355245,5.855809303
100.5,0.97,3.32,194,664,1.758555735,6.018974268
101,1.11,3.34,222,668,2.012367903,6.055233149
101.5,1.31,3.34,262,668,2.374956714,6.055233149
102,1.44,3.4,288,680,2.610639442,6.164009793
102.5,1.64,3.43,328,686,2.973228253,6.218398115
103,1.83,3.51,366,702,3.317687624,6.363433639
103.5,1.97,3.54,394,708,3.571499792,6.417821961
104,2.11,3.64,422,728,3.82531196,6.599116367
104.5,2.26,3.73,452,746,4.097253568,6.762281332
105,2.4,3.82,480,764,4.351065736,6.925446297
105.5,2.53,3.94,506,788,4.586748464,7.142999584
106,2.66,4.06,532,812,4.822431191,7.36055287
106.5,2.82,4.18,564,836,5.11250224,7.578106157
107,2.94,4.33,588,866,5.330055527,7.850047766
107.5,3.1,4.53,620,906,5.620126576,8.212636577
108,3.32,4.73,664,946,6.018974268,8.575225388
108.5,3.61,5,722,1000,6.544728045,9.064720284
109,4.02,5.32,804,1064,7.288035108,9.644862382
109.5,4.65,5.62,930,1124,8.430189864,10.1887456
110,5.33,6.02,1066,1204,9.662991822,10.91392322
110.5,5.99,6.4,1198,1280,10.8595349,11.60284196
111,6.57,6.83,1314,1366,11.91104245,12.38240791